p_date,customer_id,aircraft_id,class_id,no_of_tickets,a_code,Price_per_ticket,brand
2018-12-26,27,767-301ER,Economy,1,DAL,130,Emirates
2020-02-02,22,ERJ142,"Economy Plus",1,AGB,220,"Jet Airways"
2020-03-03,21,CRJ900,Bussiness,1,BOH,490,"Bristish Airways"
2020-04-04,4,767-301ER,"First Class",1,AGB,390,Emirates
2020-05-05,5,ERJ142,Economy,1,CTM,120,"Jet Airways"
2020-07-07,7,767-301ER,Bussiness,1,BFS,430,Emirates
2020-08-08,8,A321,"Economy Plus",1,DAL,275,"Qatar Airways"
2020-09-09,9,767-301ER,"First Class",1,BOH,380,Emirates
2020-10-10,10,A321,Economy,1,MCO,135,"Qatar Airways"
2020-11-11,11,767-301ER,Bussiness,1,AGB,465,Emirates
2020-12-12,19,CRJ900,"Economy Plus",1,DEN,225,"Bristish Airways"
2019-01-01,13,A321,"First Class",1,YVR,395,"Qatar Airways"
2019-02-02,14,ERJ142,Economy,1,CTM,120,"Jet Airways"
2019-03-03,25,767-301ER,Bussiness,1,BHX,499,Emirates
2019-04-04,16,CRJ900,"First Class",1,YVR,395,"Bristish Airways"
2019-05-03,17,A321,"Economy Plus",1,BFS,250,"Qatar Airways"
2019-06-06,18,767-301ER,Economy,1,YVR,190,Emirates
2019-07-07,24,A321,Bussiness,1,CTM,480,"Qatar Airways"
2019-08-09,20,CRJ900,"First Class",1,MCO,365,"Bristish Airways"
2019-09-21,25,767-301ER,Economy,1,BOH,150,Emirates
2019-10-22,29,A321,Bussiness,1,PEK,410,"Qatar Airways"
2019-11-23,1,ERJ142,"Economy Plus",1,BFS,250,"Jet Airways"
2019-12-24,14,767-301ER,Economy,1,BHX,170,Emirates
2019-01-25,2,A321,Bussiness,1,YVR,505,"Qatar Airways"
2018-01-01,9,CRJ900,"First Class",1,AGB,390,"British Airways"
2018-02-01,19,767-301ER,Economy,1,AGB,100,Emirates
2018-03-01,18,767-301ER,"First Class",1,BFS,375,Emirates
2018-04-01,29,ERJ142,Bussiness,1,EME,510,"Jet Airways"
2018-05-01,8,A321,Economy,1,YVR,190,"Qatar Airways"
2018-06-01,20,CRJ900,"First Class",1,PEK,315,"Bristish Airways"
2018-07-01,5,767-301ER,Bussiness,1,BFS,430,Emirates
2018-08-01,11,ERJ142,"Economy Plus",1,BHX,295,"Jet Airways"
2018-09-01,2,767-301ER,Economy,1,DAL,130,Emirates
2018-10-01,1,CRJ900,"First Class",1,DEN,320,"Bristish Airways"
2018-11-01,15,A321,Bussiness,1,BFS,430,"Qatar Airways"
2018-12-01,28,ERJ142,Economy,1,BHX,170,"Jet Airways"
2018-12-19,31,767-301ER,Economy,1,DAL,130,Emirates
2020-02-04,32,ERJ142,"Economy Plus",1,AGB,220,"Jet Airways"
2020-03-12,33,CRJ900,Bussiness,1,BOH,490,"Bristish Airways"
2020-04-29,4,767-301ER,"First Class",1,AGB,390,Emirates
2020-05-30,5,ERJ142,Economy,1,CTM,120,"Jet Airways"
2020-07-17,49,767-301ER,Bussiness,1,BFS,430,Emirates
2020-08-12,50,A321,"Economy Plus",1,DAL,275,"Qatar Airways"
2020-09-05,44,767-301ER,"First Class",1,BOH,380,Emirates
2020-10-07,46,A321,Economy,1,MCO,135,"Qatar Airways"
2020-11-08,11,767-301ER,Bussiness,1,AGB,465,Emirates
2020-12-09,47,CRJ900,"Economy Plus",1,DEN,225,"Bristish Airways"
2019-01-11,41,A321,"First Class",1,YVR,395,"Qatar Airways"
2020-12-13,19,CRJ900,"Economy Plus",1,DEN,225,"Bristish Airways"
2019-01-15,46,A321,"First Class",1,YVR,395,"Qatar Airways"
